MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,StonesCompleted,ImplementWeightKg,CourseDistanceM,TimeLimitSec,ScoredBy,WorldRecord,Place,OverallPlace,Points,Notes
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Rayno Nel,RSA,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",30.58,sec,,250,20,,time,,1,1,47,250kg Zercher carry 20m + 200kg hoist 8m
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Tom Stoltman,GBR,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",34.49,sec,,250,20,,time,,2,2,46.5,Frame-by-frame review to separate 2nd and 3rd
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Mitchell Hooper,CAN,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",35.47,sec,,250,20,,time,,3,3,43.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Paddy Haynes,GBR,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",36.97,sec,,250,20,,time,,4,5,32,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Pavlo Kordiyaka,UKR,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",37.42,sec,,250,20,,time,,5,8,25,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Eddie Williams,AUS,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",38.11,sec,,250,20,,time,,6,10,20.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Ondrej Fojtu,CZE,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",40.95,sec,,250,20,,time,,7,6,27,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Luke Stoltman,GBR,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",45.58,sec,,250,20,,time,,8,9,21.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Trey Mitchell,USA,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",49.38,sec,,250,20,,time,,9,4,38.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Shane Flowers,GBR,KNAACK Carry and Hoist,Medley,"Zercher Carry,Rope Hoist",8.6,m,,250,20,,distance,,10,7,25.5,DNF
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Trey Mitchell,USA,18-Inch Deadlift,Deadlift,Barbell,500,kg,,500,,,weight,,1,4,38.5,500kg; 1102 lbs; deadlift suit used
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Rayno Nel,RSA,18-Inch Deadlift,Deadlift,Barbell,490,kg,,490,,,weight,,2,1,47,490kg; 1080 lbs
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Tom Stoltman,GBR,18-Inch Deadlift,Deadlift,Barbell,465,kg,,465,,,weight,,3,2,46.5,465kg; tied 3rd
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Mitchell Hooper,CAN,18-Inch Deadlift,Deadlift,Barbell,465,kg,,465,,,weight,,3,3,43.5,465kg; tied 3rd
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Paddy Haynes,GBR,18-Inch Deadlift,Deadlift,Barbell,465,kg,,465,,,weight,,3,5,32,465kg; tied 3rd
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Ondrej Fojtu,CZE,18-Inch Deadlift,Deadlift,Barbell,465,kg,,465,,,weight,,3,6,27,465kg; tied 3rd
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Shane Flowers,GBR,18-Inch Deadlift,Deadlift,Barbell,465,kg,,465,,,weight,,3,7,25.5,465kg; tied 3rd
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Pavlo Kordiyaka,UKR,18-Inch Deadlift,Deadlift,Barbell,435,kg,,435,,,weight,,8,8,25,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Eddie Williams,AUS,18-Inch Deadlift,Deadlift,Barbell,435,kg,,435,,,weight,,8,10,20.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Luke Stoltman,GBR,18-Inch Deadlift,Deadlift,Barbell,402,kg,,402,,,weight,,10,9,21.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Eddie Williams,AUS,Hercules Hold,Hold,Hercules Hold,82.14,sec,,159,,,time,,1,10,20.5,350.5 lbs per pillar
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Rayno Nel,RSA,Hercules Hold,Hold,Hercules Hold,75.63,sec,,159,,,time,,2,1,47,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Paddy Haynes,GBR,Hercules Hold,Hold,Hercules Hold,59.64,sec,,159,,,time,,3,5,32,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Ondrej Fojtu,CZE,Hercules Hold,Hold,Hercules Hold,55.41,sec,,159,,,time,,4,6,27,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Shane Flowers,GBR,Hercules Hold,Hold,Hercules Hold,40.26,sec,,159,,,time,,5,7,25.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Mitchell Hooper,CAN,Hercules Hold,Hold,Hercules Hold,40.09,sec,,159,,,time,,6,3,43.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Luke Stoltman,GBR,Hercules Hold,Hold,Hercules Hold,32.30,sec,,159,,,time,,7,9,21.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Tom Stoltman,GBR,Hercules Hold,Hold,Hercules Hold,31.82,sec,,159,,,time,,8,2,46.5,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Pavlo Kordiyaka,UKR,Hercules Hold,Hold,Hercules Hold,29.91,sec,,159,,,time,,9,8,25,
2025 World's Strongest Man,WSM,2025-05-17,"Sacramento, California",Open,M,,,Trey Mitchell,USA,Hercules Hold,Hold,Hercules Hold,22.29,sec,,159,,,time,,10,4,38.5,
