MeetName,MeetFederation,MeetDate,MeetLocation,Division,Sex,BodyweightKg,WeightClassKg,AthleteName,AthleteNationality,Event,EventCategory,Implement,ResultValue,ResultUnit,StonesCompleted,ImplementWeightKg,CourseDistanceM,TimeLimitSec,ScoredBy,WorldRecord,Place,OverallPlace,Points,Notes
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Hafthor Julius Bjornsson,ISL,Deadlift Ladder,Deadlift,Barbell,458.1,kg,,458.1,,,weight,,1,2,44,1010 lbs; one-rep max format; belt and straps only
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Mitchell Hooper,CAN,Deadlift Ladder,Deadlift,Barbell,442.3,kg,,442.3,,,weight,,2,1,54,975 lbs
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Mathew Ragg,NZL,Deadlift Ladder,Deadlift,Barbell,430.9,kg,,430.9,,,weight,,3,7,27,950 lbs
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Bobby Thompson,USA,Deadlift Ladder,Deadlift,Barbell,419.6,kg,,419.6,,,weight,,4,8,23.5,925 lbs; tied 4th
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Evan Singleton,USA,Deadlift Ladder,Deadlift,Barbell,419.6,kg,,419.6,,,weight,,4,4,41.5,925 lbs; tied 4th
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Thomas Evans,USA,Deadlift Ladder,Deadlift,Barbell,410.9,kg,,410.9,,,weight,,6,6,30,905 lbs
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Tom Stoltman,GBR,Deadlift Ladder,Deadlift,Barbell,396.9,kg,,396.9,,,weight,,7,3,44,875 lbs
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Luke Stoltman,GBR,Deadlift Ladder,Deadlift,Barbell,381,kg,,381,,,weight,,8,5,32,840 lbs
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Tristain Hoath,CAN,Deadlift Ladder,Deadlift,Barbell,372,kg,,372,,,weight,,9,10,14,820 lbs
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Pavlo Kordiyaka,UKR,Deadlift Ladder,Deadlift,Barbell,362.9,kg,,362.9,,,weight,,10,9,21,800 lbs
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Thomas Evans,USA,Grip and Press,Medley,"Farmer's Carry,Log",37.01,sec,,172.4,40,,time,,1,6,30,380lb log; 350lb farmer per hand; 40ft carry then 3 log reps
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Mitchell Hooper,CAN,Grip and Press,Medley,"Farmer's Carry,Log",37.03,sec,,172.4,40,,time,,2,1,54,Missed clean on first rep cost him the event win
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Tom Stoltman,GBR,Grip and Press,Medley,"Farmer's Carry,Log",39.77,sec,,172.4,40,,time,,3,3,44,
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Evan Singleton,USA,Grip and Press,Medley,"Farmer's Carry,Log",42.13,sec,,172.4,40,,time,,4,4,41.5,
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Luke Stoltman,GBR,Grip and Press,Medley,"Farmer's Carry,Log",118.86,sec,,172.4,40,,time,,5,5,32,
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Mathew Ragg,NZL,Grip and Press,Medley,"Farmer's Carry,Log",61.5,m,,172.4,40,,distance,,6,7,27,DNF
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Bobby Thompson,USA,Grip and Press,Medley,"Farmer's Carry,Log",64.5,m,,172.4,40,,distance,,7,8,23.5,DNF
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Pavlo Kordiyaka,UKR,Grip and Press,Medley,"Farmer's Carry,Log",126,sec,,172.4,40,,distance,,8,9,21,DNF
2024 Rogue Invitational,Rogue,2024-11-08,"Aberdeen, Scotland",Open,M,,,Hafthor Julius Bjornsson,ISL,Grip and Press,Medley,"Farmer's Carry,Log",38.07,m,,172.4,40,,distance,,9,2,44,DNF; failed log press
